Date,Year,Month,Day,City,State,Latitude,Longitude,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,Rainfall,Pressure,Vehicle_Count,Industrial_Index,Population_Density,Construction_Activity,Festival_Season,Crop_Burning_Impact,Traffic_Level,Future_AQI,AQI_Trend
2018-08-01,2018,8,1,Delhi,Delhi,28.6139,77.209,185,Moderate,95,162,50,21,6.5,48,30,68,12,98,1006,37800,9,11200,8,No,High,High,180,Stable
2018-08-15,2018,8,15,Bengaluru,Karnataka,12.9716,77.5946,78,Satisfactory,32,60,20,9,2,62,24,80,14,145,1010,19800,5,9800,5,No,Low,Medium,75,Decreasing
2018-09-01,2018,9,1,Delhi,Delhi,28.6139,77.209,205,Poor,125,195,55,24,7.2,45,28,62,10,35,1009,38200,9,11200,8,No,High,High,210,Increasing
2018-09-15,2018,9,15,Jaipur,Rajasthan,26.9124,75.7873,148,Moderate,65,112,35,16,3.8,48,30,55,14,42,1010,23200,6,8200,6,No,Low,Medium,152,Increasing
2018-10-01,2018,10,1,Delhi,Delhi,28.6139,77.209,275,Poor,175,255,68,28,8.8,40,25,60,8,0,1011,38500,9,11200,8,Yes,High,High,285,Increasing
2018-10-15,2018,10,15,Lucknow,Uttar Pradesh,26.8467,80.9462,248,Poor,158,238,62,26,7.5,38,26,68,7,0,1012,27800,7,8900,7,Yes,Medium,High,255,Increasing
2018-10-20,2018,10,20,Amritsar,Punjab,31.634,74.8726,265,Poor,168,248,65,28,8,35,20,72,6,0,1011,27000,7,7500,7,No,High,High,272,Increasing
2018-11-01,2018,11,1,Delhi,Delhi,28.6139,77.209,385,Very Poor,258,360,88,40,11.5,30,18,78,7,0,1012,39000,9,11200,9,Yes,High,High,395,Increasing
2018-11-05,2018,11,5,Gurugram,Haryana,28.4595,77.0266,398,Severe,272,385,92,42,12,28,17,80,6,0,1011,35800,9,9850,9,Yes,High,High,405,Increasing
2018-11-10,2018,11,10,Noida,Uttar Pradesh,28.5355,77.391,392,Severe,265,378,90,40,11.8,29,16,82,6,0,1012,37000,8,10400,9,Yes,High,High,400,Increasing
2018-11-15,2018,11,15,Faridabad,Haryana,28.4089,77.3178,395,Severe,268,382,91,41,11.9,27,15,83,5,0,1011,35000,9,9680,9,Yes,High,High,402,Increasing
2018-12-01,2018,12,1,Delhi,Delhi,28.6139,77.209,435,Severe,305,410,102,48,14.5,22,10,85,6,0,1013,39500,10,11200,9,No,High,High,445,Increasing
2018-12-15,2018,12,15,Chandigarh,Chandigarh,30.7333,76.7794,245,Poor,155,235,58,25,7.2,32,12,72,5,0,1014,25800,6,8900,7,No,Medium,High,252,Increasing
2019-01-05,2019,1,5,Delhi,Delhi,28.6139,77.209,398,Severe,272,365,92,40,12,30,13,82,9,0,1012,39000,9,11300,8,No,High,High,405,Increasing
2019-01-10,2019,1,10,Mumbai,Maharashtra,19.076,72.8777,152,Moderate,70,115,40,17,3.8,50,26,67,13,0,1012,28800,7,21600,7,No,Low,High,155,Increasing
2019-02-01,2019,2,1,Delhi,Delhi,28.6139,77.209,355,Very Poor,235,330,78,35,10.5,40,15,75,10,0,1014,38800,9,11300,8,No,High,High,360,Stable
2019-02-15,2019,2,15,Bengaluru,Karnataka,12.9716,77.5946,92,Satisfactory,38,70,23,11,2.3,58,25,65,12,15,1015,20000,5,9900,5,No,Low,Medium,90,Decreasing
2019-03-01,2019,3,1,Delhi,Delhi,28.6139,77.209,285,Poor,175,265,70,30,9,45,24,60,14,10,1012,38800,9,11300,8,No,High,High,290,Increasing
2019-03-20,2019,3,20,Chennai,Tamil Nadu,13.0827,80.2707,105,Satisfactory,44,76,24,11,2.4,60,30,68,16,28,1011,22800,6,15800,5,No,Low,Medium,102,Stable
2019-04-05,2019,4,5,Delhi,Delhi,28.6139,77.209,235,Poor,145,225,62,26,8.2,50,30,42,15,5,1009,39000,9,11300,8,No,High,High,240,Increasing
2019-04-15,2019,4,15,Kolkata,West Bengal,22.5726,88.3639,170,Moderate,80,130,44,21,5,45,28,72,12,45,1010,26800,7,14700,6,No,Low,High,168,Decreasing
2019-05-01,2019,5,1,Delhi,Delhi,28.6139,77.209,205,Poor,125,195,58,24,7,52,34,38,18,8,1008,39200,9,11300,8,No,High,High,210,Increasing
2019-05-20,2019,5,20,Pune,Maharashtra,18.5204,73.8567,118,Moderate,50,95,30,13,3,56,30,58,15,65,1009,24800,6,11300,6,No,Low,Medium,115,Decreasing
2019-06-05,2019,6,5,Delhi,Delhi,28.6139,77.209,188,Moderate,98,165,50,22,6.5,54,36,52,20,55,1005,38500,9,11300,8,No,High,High,185,Decreasing
2019-06-15,2019,6,15,Jaipur,Rajasthan,26.9124,75.7873,140,Moderate,60,108,34,15,3.6,52,32,48,16,38,1008,23500,6,8300,6,No,Low,Medium,138,Decreasing
2019-07-01,2019,7,1,Delhi,Delhi,28.6139,77.209,168,Moderate,82,148,46,20,6,52,33,68,14,142,1005,38200,9,11300,8,No,High,High,162,Decreasing
2019-07-20,2019,7,20,Amritsar,Punjab,31.634,74.8726,195,Moderate,105,175,52,24,6.8,42,26,78,9,118,1008,27200,7,7600,7,No,Medium,High,192,Decreasing
2019-08-01,2019,8,1,Delhi,Delhi,28.6139,77.209,178,Moderate,92,155,48,21,6.2,50,32,65,12,98,1006,38500,9,11300,8,No,High,High,175,Stable
2019-08-15,2019,8,15,Lucknow,Uttar Pradesh,26.8467,80.9462,165,Moderate,78,128,42,20,5.8,48,30,70,10,82,1009,28000,7,9000,7,No,Medium,High,162,Decreasing
2019-09-01,2019,9,1,Delhi,Delhi,28.6139,77.209,198,Moderate,110,182,54,23,6.9,48,30,60,11,42,1008,38800,9,11300,8,No,High,High,202,Increasing
2019-09-15,2019,9,15,Chennai,Tamil Nadu,13.0827,80.2707,112,Moderate,48,85,26,12,2.6,55,32,72,13,85,1010,23000,6,15800,5,No,Low,Medium,110,Stable
2019-10-01,2019,10,1,Delhi,Delhi,28.6139,77.209,265,Poor,168,248,65,28,8.5,42,27,58,9,0,1011,39200,9,11300,8,Yes,High,High,272,Increasing
2019-10-10,2019,10,10,Gurugram,Haryana,28.4595,77.0266,285,Poor,178,262,70,30,9,38,25,62,8,0,1010,36000,9,9900,8,Yes,High,High,292,Increasing
2019-10-20,2019,10,20,Noida,Uttar Pradesh,28.5355,77.391,278,Poor,172,255,68,29,8.8,40,26,64,8,0,1011,37200,8,10500,8,Yes,High,High,285,Increasing
2019-11-01,2019,11,1,Delhi,Delhi,28.6139,77.209,375,Very Poor,248,355,85,38,11.2,32,18,75,7,0,1012,39800,10,11300,9,Yes,High,High,385,Increasing
2019-11-10,2019,11,10,Faridabad,Haryana,28.4089,77.3178,382,Very Poor,255,365,88,39,11.5,30,17,78,6,0,1011,35500,9,9750,9,Yes,High,High,390,Increasing
2019-11-20,2019,11,20,Chandigarh,Chandigarh,30.7333,76.7794,235,Poor,145,225,55,24,7,35,15,68,6,0,1013,26000,6,9000,7,Yes,Medium,High,242,Increasing
2019-12-01,2019,12,1,Delhi,Delhi,28.6139,77.209,425,Severe,298,398,98,45,13.8,25,11,82,5,0,1013,40000,10,11300,9,No,High,High,435,Increasing
2019-12-15,2019,12,15,Mumbai,Maharashtra,19.076,72.8777,165,Moderate,78,125,42,18,4,48,27,65,12,5,1013,29000,7,21600,7,No,Low,High,168,Increasing
2020-01-05,2020,1,5,Delhi,Delhi,28.6139,77.209,395,Severe,268,360,90,41,12,28,12,80,8,0,1012,39500,9,11400,8,No,High,High,402,Increasing
2020-01-15,2020,1,15,Bengaluru,Karnataka,12.9716,77.5946,95,Satisfactory,40,72,22,10,2.2,60,23,68,10,12,1014,20200,5,10000,5,No,Low,Medium,93,Decreasing
2020-02-01,2020,2,1,Delhi,Delhi,28.6139,77.209,345,Very Poor,225,320,75,33,10.2,38,16,72,11,2,1014,39200,9,11400,8,No,High,High,350,Stable
2020-02-15,2020,2,15,Pune,Maharashtra,18.5204,73.8567,125,Moderate,55,98,32,14,3.2,54,26,60,13,8,1015,25000,6,11400,6,No,Low,Medium,122,Decreasing
2020-03-01,2020,3,1,Delhi,Delhi,28.6139,77.209,278,Poor,168,258,68,28,8.8,48,25,58,13,5,1012,39500,9,11400,8,No,High,High,285,Increasing
2020-03-20,2020,3,20,Kolkata,West Bengal,22.5726,88.3639,162,Moderate,75,122,40,19,4.5,48,29,70,12,32,1011,27000,7,14800,6,No,Low,High,158,Decreasing
2020-04-01,2020,4,1,Delhi,Delhi,28.6139,77.209,228,Poor,138,212,60,25,7.8,52,32,40,14,4,1010,39000,9,11400,8,No,High,High,235,Increasing
2020-04-15,2020,4,15,Jaipur,Rajasthan,26.9124,75.7873,152,Moderate,68,115,36,16,3.8,50,31,50,15,18,1011,23800,6,8400,6,No,Low,Medium,155,Increasing
2020-05-01,2020,5,1,Delhi,Delhi,28.6139,77.209,198,Moderate,112,182,55,23,6.8,55,36,38,16,6,1009,38800,9,11400,8,No,High,High,195,Decreasing
2020-05-20,2020,5,20,Amritsar,Punjab,31.634,74.8726,175,Moderate,88,145,45,20,5.5,48,28,65,12,22,1010,27500,7,7700,7,No,Low,High,172,Decreasing
2020-06-01,2020,6,1,Delhi,Delhi,28.6139,77.209,182,Moderate,95,160,48,21,6.5,56,38,48,18,48,1006,38500,9,11400,8,No,High,High,178,Decreasing
2020-06-15,2020,6,15,Chennai,Tamil Nadu,13.0827,80.2707,108,Satisfactory,46,80,25,11,2.5,58,33,70,15,95,1008,23200,6,15900,5,No,Low,Medium,105,Decreasing
2020-07-01,2020,7,1,Delhi,Delhi,28.6139,77.209,165,Moderate,80,145,44,19,5.8,54,34,65,15,155,1005,38200,9,11400,8,No,High,High,160,Decreasing
2020-07-20,2020,7,20,Lucknow,Uttar Pradesh,26.8467,80.9462,155,Moderate,72,120,38,18,4.5,50,31,72,11,132,1008,28200,7,9100,7,No,Medium,High,152,Decreasing
2020-08-01,2020,8,1,Delhi,Delhi,28.6139,77.209,170,Moderate,85,148,46,20,6,52,32,62,13,108,1007,38800,9,11400,8,No,High,High,168,Stable
2020-08-15,2020,8,15,Bengaluru,Karnataka,12.9716,77.5946,82,Satisfactory,34,64,21,10,2.1,62,25,78,12,135,1011,20400,5,10000,5,No,Low,Medium,80,Decreasing
2020-09-01,2020,9,1,Delhi,Delhi,28.6139,77.209,192,Moderate,105,175,52,23,6.8,50,30,58,12,48,1009,39000,9,11400,8,No,High,High,198,Increasing
2020-09-15,2020,9,15,Mumbai,Maharashtra,19.076,72.8777,135,Moderate,58,105,35,15,3.4,54,29,65,14,65,1010,29200,7,21700,7,No,Low,High,132,Decreasing
2020-10-01,2020,10,1,Delhi,Delhi,28.6139,77.209,258,Poor,160,240,62,27,8.2,44,28,56,10,0,1011,39500,9,11400,8,Yes,High,High,265,Increasing
2020-10-10,2020,10,10,Gurugram,Haryana,28.4595,77.0266,275,Poor,172,258,67,29,8.6,40,26,60,9,0,1010,36200,9,10000,8,Yes,High,High,282,Increasing
2020-10-20,2020,10,20,Noida,Uttar Pradesh,28.5355,77.391,268,Poor,165,250,65,28,8.4,42,27,61,8,0,1011,37500,8,10600,8,Yes,High,High,275,Increasing
2020-11-01,2020,11,1,Delhi,Delhi,28.6139,77.209,368,Very Poor,245,350,82,38,11,34,19,72,7,0,1012,40200,10,11400,9,Yes,High,High,378,Increasing
2020-11-10,2020,11,10,Faridabad,Haryana,28.4089,77.3178,372,Very Poor,248,355,84,39,11.2,32,18,74,6,0,1011,36000,9,9850,9,Yes,High,High,380,Increasing
2020-11-20,2020,11,20,Chandigarh,Chandigarh,30.7333,76.7794,228,Poor,138,215,52,23,6.8,38,16,66,7,0,1013,26200,6,9100,7,Yes,Medium,High,235,Increasing
2020-12-01,2020,12,1,Delhi,Delhi,28.6139,77.209,418,Severe,290,390,95,43,13.5,26,12,80,5,0,1013,40500,10,11400,9,No,High,High,428,Increasing
2020-12-15,2020,12,15,Pune,Maharashtra,18.5204,73.8567,132,Moderate,58,102,33,14,3.2,52,25,62,11,8,1014,25200,6,11500,6,No,Low,Medium,130,Decreasing
2021-01-05,2021,1,5,Delhi,Delhi,28.6139,77.209,388,Very Poor,258,355,88,40,11.8,30,14,78,9,0,1012,39800,9,11500,8,No,High,High,395,Increasing
2021-01-15,2021,1,15,Kolkata,West Bengal,22.5726,88.3639,172,Moderate,82,130,42,20,4.8,46,22,72,10,15,1014,27200,7,14900,6,No,Low,High,170,Decreasing
2021-02-01,2021,2,1,Delhi,Delhi,28.6139,77.209,338,Very Poor,218,310,72,32,9.8,42,18,70,12,2,1014,39500,9,11500,8,No,High,High,345,Increasing
2021-02-15,2021,2,15,Amritsar,Punjab,31.634,74.8726,198,Moderate,108,175,48,22,6.2,42,17,68,8,5,1013,27800,7,7800,7,No,High,High,202,Increasing
2021-03-01,2021,3,1,Delhi,Delhi,28.6139,77.209,268,Poor,165,248,65,27,8.5,50,26,55,14,8,1012,39800,9,11500,8,No,High,High,275,Increasing
2021-03-20,2021,3,20,Chennai,Tamil Nadu,13.0827,80.2707,110,Satisfactory,47,82,26,12,2.5,58,31,68,15,42,1011,23500,6,16000,5,No,Low,Medium,108,Stable
2021-04-01,2021,4,1,Delhi,Delhi,28.6139,77.209,225,Poor,138,205,58,24,7.5,54,34,42,15,5,1009,39500,9,11500,8,No,High,High,230,Increasing
2021-04-15,2021,4,15,Bengaluru,Karnataka,12.9716,77.5946,88,Satisfactory,38,68,21,10,2.1,60,26,62,12,28,1012,20600,5,10100,5,No,Low,Medium,85,Decreasing
2021-05-01,2021,5,1,Delhi,Delhi,28.6139,77.209,195,Moderate,108,178,52,23,6.8,58,38,40,18,10,1008,39200,9,11500,8,No,High,High,192,Decreasing
2021-05-20,2021,5,20,Jaipur,Rajasthan,26.9124,75.7873,148,Moderate,65,112,35,15,3.6,54,34,48,16,18,1010,24000,6,8500,6,No,Low,Medium,145,Decreasing
2021-06-01,2021,6,1,Delhi,Delhi,28.6139,77.209,178,Moderate,92,155,48,21,6.2,58,40,52,20,65,1006,39000,9,11500,8,No,High,High,175,Decreasing
2021-06-15,2021,6,15,Mumbai,Maharashtra,19.076,72.8777,128,Moderate,55,100,32,14,3.2,56,31,70,18,185,1008,29500,7,21800,7,No,Low,High,125,Decreasing
2021-07-01,2021,7,1,Delhi,Delhi,28.6139,77.209,162,Moderate,78,142,44,19,5.8,56,35,68,15,172,1005,38800,9,11500,8,No,High,High,158,Decreasing
2021-07-20,2021,7,20,Lucknow,Uttar Pradesh,26.8467,80.9462,152,Moderate,70,118,38,18,4.5,52,32,74,12,148,1008,28500,7,9200,7,No,Medium,High,148,Stable
2021-08-01,2021,8,1,Delhi,Delhi,28.6139,77.209,168,Moderate,82,145,46,20,6,54,34,60,14,115,1007,39200,9,11500,8,No,High,High,165,Decreasing
2021-08-15,2021,8,15,Pune,Maharashtra,18.5204,73.8567,118,Moderate,52,95,30,13,3,58,27,75,13,98,1010,25400,6,11600,6,No,Low,Medium,115,Decreasing
2021-09-01,2021,9,1,Delhi,Delhi,28.6139,77.209,188,Moderate,102,168,52,22,6.8,52,32,55,12,55,1009,39500,9,11500,8,No,High,High,192,Increasing
2021-09-15,2021,9,15,Chennai,Tamil Nadu,13.0827,80.2707,115,Moderate,50,88,27,12,2.6,56,33,70,14,78,1010,23800,6,16100,5,No,Low,Medium,112,Decreasing
2021-10-01,2021,10,1,Delhi,Delhi,28.6139,77.209,252,Poor,155,235,60,26,8,46,29,54,10,2,1011,39800,9,11500,8,Yes,High,High,260,Increasing
2021-10-10,2021,10,10,Gurugram,Haryana,28.4595,77.0266,268,Poor,165,248,65,28,8.4,42,27,58,9,0,1010,36500,9,10100,8,Yes,High,High,275,Increasing
2021-10-20,2021,10,20,Noida,Uttar Pradesh,28.5355,77.391,262,Poor,160,242,63,27,8.2,44,28,60,8,0,1011,37800,8,10700,8,Yes,High,High,268,Increasing
2021-11-01,2021,11,1,Delhi,Delhi,28.6139,77.209,358,Very Poor,235,342,80,36,10.8,36,20,70,7,0,1012,40800,10,11500,9,Yes,High,High,368,Increasing
2021-11-10,2021,11,10,Faridabad,Haryana,28.4089,77.3178,362,Very Poor,238,348,82,37,11,34,19,72,6,0,1011,36500,9,9950,9,Yes,High,High,370,Increasing
2021-11-20,2021,11,20,Chandigarh,Chandigarh,30.7333,76.7794,222,Poor,135,208,50,22,6.5,40,17,64,7,0,1013,26500,6,9200,7,Yes,Medium,High,228,Increasing
2021-12-01,2021,12,1,Delhi,Delhi,28.6139,77.209,408,Severe,282,385,92,42,13.2,28,13,78,6,0,1013,41000,10,11500,9,No,High,High,418,Increasing
2021-12-15,2021,12,15,Mumbai,Maharashtra,19.076,72.8777,158,Moderate,74,120,40,17,3.8,50,26,64,12,8,1014,29800,7,21900,7,No,Low,High,162,Increasing
2022-01-05,2022,1,5,Delhi,Delhi,28.6139,77.209,382,Very Poor,252,348,85,39,11.5,32,15,76,10,0,1012,40200,9,11600,8,No,High,High,390,Increasing
2022-01-15,2022,1,15,Bengaluru,Karnataka,12.9716,77.5946,92,Satisfactory,40,72,22,10,2.2,62,22,66,12,18,1014,20800,5,10200,5,No,Low,Medium,90,Decreasing
2022-02-01,2022,2,1,Delhi,Delhi,28.6139,77.209,332,Very Poor,212,305,70,31,9.5,44,18,68,13,3,1014,40000,9,11600,8,No,High,High,338,Increasing
2022-02-15,2022,2,15,Pune,Maharashtra,18.5204,73.8567,122,Moderate,54,98,32,13,3.1,56,25,58,12,12,1015,25600,6,11700,6,No,Low,Medium,120,Stable
2022-03-01,2022,3,1,Delhi,Delhi,28.6139,77.209,262,Poor,162,245,63,27,8.2,52,28,52,15,7,1012,40200,9,11600,8,No,High,High,268,Increasing
2022-03-20,2022,3,20,Kolkata,West Bengal,22.5726,88.3639,158,Moderate,74,122,40,19,4.5,50,28,68,13,38,1011,27500,7,15000,6,No,Low,High,155,Decreasing
2022-04-01,2022,4,1,Delhi,Delhi,28.6139,77.209,218,Poor,132,200,58,24,7.2,56,35,38,16,6,1009,39800,9,11600,8,No,High,High,225,Increasing
2022-04-15,2022,4,15,Amritsar,Punjab,31.634,74.8726,185,Moderate,95,158,45,21,5.8,45,22,62,10,15,1010,28000,7,7900,7,No,High,High,188,Increasing
2022-05-01,2022,5,1,Delhi,Delhi,28.6139,77.209,192,Moderate,105,175,52,22,6.6,60,39,38,18,8,1008,39500,9,11600,8,No,High,High,190,Decreasing
2022-05-20,2022,5,20,Lucknow,Uttar Pradesh,26.8467,80.9462,165,Moderate,78,128,42,20,5.2,52,32,68,12,32,1010,28800,7,9300,7,No,Medium,High,162,Decreasing
2022-06-01,2022,6,1,Delhi,Delhi,28.6139,77.209,175,Moderate,88,152,46,21,6.2,62,41,48,22,72,1006,39200,9,11600,8,No,High,High,172,Decreasing
2022-06-15,2022,6,15,Jaipur,Rajasthan,26.9124,75.7873,142,Moderate,62,110,34,15,3.6,56,34,54,18,42,1009,24200,6,8600,6,No,Low,Medium,140,Decreasing
2022-07-01,2022,7,1,Delhi,Delhi,28.6139,77.209,158,Moderate,74,138,42,19,5.8,58,36,66,16,188,1005,39000,9,11600,8,No,High,High,155,Decreasing
2022-07-20,2022,7,20,Mumbai,Maharashtra,19.076,72.8777,125,Moderate,54,100,32,14,3.2,58,30,72,20,215,1008,30000,7,22000,7,No,Low,High,122,Decreasing
2022-08-01,2022,8,1,Delhi,Delhi,28.6139,77.209,162,Moderate,78,142,44,20,5.9,56,33,62,14,125,1007,39500,9,11600,8,No,High,High,158,Decreasing
2022-08-15,2022,8,15,Chennai,Tamil Nadu,13.0827,80.2707,108,Satisfactory,46,82,25,12,2.5,60,32,74,15,98,1010,24000,6,16200,5,No,Low,Medium,105,Decreasing
2022-09-01,2022,9,1,Delhi,Delhi,28.6139,77.209,185,Moderate,98,162,50,22,6.5,54,32,54,13,52,1009,39800,9,11600,8,No,High,High,190,Increasing
2022-09-15,2022,9,15,Pune,Maharashtra,18.5204,73.8567,115,Moderate,50,95,30,13,3,58,28,68,14,65,1010,25800,6,11800,6,No,Low,Medium,112,Decreasing
2022-10-01,2022,10,1,Delhi,Delhi,28.6139,77.209,248,Poor,152,232,60,26,7.8,48,29,52,11,1,1011,40200,9,11600,8,Yes,High,High,255,Increasing
2022-10-10,2022,10,10,Gurugram,Haryana,28.4595,77.0266,262,Poor,162,245,64,28,8.2,45,28,56,10,0,1010,36800,9,10200,8,Yes,High,High,268,Increasing
2022-10-20,2022,10,20,Noida,Uttar Pradesh,28.5355,77.391,258,Poor,158,238,62,27,8,46,29,58,9,0,1011,38000,8,10800,8,Yes,High,High,265,Increasing
2022-11-01,2022,11,1,Delhi,Delhi,28.6139,77.209,352,Very Poor,232,335,78,35,10.5,38,21,68,8,0,1012,41200,10,11600,9,Yes,High,High,362,Increasing
2022-11-10,2022,11,10,Faridabad,Haryana,28.4089,77.3178,355,Very Poor,235,340,80,36,10.6,36,20,70,7,0,1011,36800,9,10000,9,Yes,High,High,362,Stable
2022-11-20,2022,11,20,Chandigarh,Chandigarh,30.7333,76.7794,218,Poor,132,205,50,22,6.5,42,18,62,8,0,1013,26800,6,9300,7,Yes,Medium,High,225,Increasing
2022-12-01,2022,12,1,Delhi,Delhi,28.6139,77.209,402,Severe,275,378,90,41,13,30,14,76,7,0,1013,41500,10,11600,9,No,High,High,412,Increasing
2022-12-15,2022,12,15,Bengaluru,Karnataka,12.9716,77.5946,95,Satisfactory,42,74,23,11,2.3,60,24,64,11,22,1014,21000,5,10300,5,No,Low,Medium,92,Decreasing
2023-01-05,2023,1,5,Delhi,Delhi,28.6139,77.209,378,Very Poor,248,345,84,38,11.2,34,16,74,11,0,1012,40500,9,11700,8,No,High,High,385,Increasing
2023-01-15,2023,1,15,Mumbai,Maharashtra,19.076,72.8777,148,Moderate,68,112,38,16,3.6,52,27,62,13,5,1014,30200,7,22100,7,No,Low,High,152,Increasing
2023-02-01,2023,2,1,Delhi,Delhi,28.6139,77.209,325,Very Poor,205,298,68,30,9.2,46,20,66,14,2,1014,40500,9,11700,8,No,High,High,332,Increasing
2023-02-15,2023,2,15,Amritsar,Punjab,31.634,74.8726,195,Moderate,105,172,48,22,6,44,18,64,9,4,1013,28200,7,8000,7,No,High,High,198,Increasing
